data,tamponi_totali_test_effettuati,tamponi_totali_casi_diagnosticati,tamponi_totali_casi_positivi,tamponi_odierni_test_effettuati,tamponi_odierni_casi_diagnosticati,tamponi_odierni_casi_positivi,malati_totali_persone,malati_totali_provincia_pesaro_urbino,malati_totali_provincia_ancona,malati_totali_provincia_macerata,malati_totali_provincia_fermo,malati_totali_provincia_ascoli_piceno,malati_totali_provincia_extra_regione,malati_dimessi_guariti,malati_attivi_persone,malati_attivi_isolamento_domiciliare,malati_attivi_ricoverati_totali,malati_attivi_ricoverati_terapia_intensiva_totali,malati_attivi_ricoverati_terapia_intensiva_strutture_AO_Marche_Nord,malati_attivi_ricoverati_terapia_intensiva_strutture_AO_Ancona_Torrette,malati_attivi_ricoverati_terapia_intensiva_strutture_Senigallia,malati_attivi_ricoverati_terapia_intensiva_strutture_Fermo,malati_attivi_ricoverati_terapia_intensiva_strutture_Civitanova,malati_attivi_ricoverati_terapia_intensiva_strutture_Jesi,malati_attivi_ricoverati_terapia_intensiva_strutture_Urbino,malati_attivi_ricoverati_terapia_intensiva_strutture_Camerino,malati_attivi_ricoverati_terapia_intensiva_strutture_San_Benedetto_dT,malati_attivi_ricoverati_terapia_intensiva_strutture_Macerata,malati_attivi_ricoverati_terapia_intensiva_strutture_INRCA_Ancona,malati_attivi_ricoverati_semi_intensiva_totali,malati_attivi_ricoverati_semi_intensiva_strutture_Civitanova,malati_attivi_ricoverati_semi_intensiva_strutture_Camerino,malati_attivi_ricoverati_semi_intensiva_strutture_San_Benedetto_dT,malati_attivi_ricoverati_semi_intensiva_strutture_Jesi,malati_attivi_ricoverati_semi_intensiva_strutture_Macerata,malati_attivi_ricoverati_semi_intensiva_strutture_Urbino,malati_attivi_ricoverati_semi_intensiva_strutture_Senigallia,malati_attivi_ricoverati_semi_intensiva_strutture_Fermo,malati_attivi_ricoverati_semi_intensiva_strutture_AO_Marche_Nord,malati_attivi_ricoverati_semi_intensiva_strutture_AO_Ancona_Torrette,malati_attivi_ricoverati_semi_intensiva_strutture_Villa_Pini,malati_attivi_ricoverati_post_critica_totali,malati_attivi_ricoverati_post_critica_strutture_Chiaravalle,malati_attivi_ricoverati_post_critica_strutture_Galantara,malati_attivi_ricoverati_post_critica_strutture_Fossombrone,malati_attivi_ricoverati_post_critica_strutture_Villa_Pini,malati_attivi_ricoverati_post_critica_strutture_RSA_Campofilone,malati_attivi_ricoverati_post_critica_strutture_AO_Ancona_Torrette,malati_attivi_ricoverati_post_critica_strutture_INRCA_Fermo,malati_attivi_ricoverati_post_critica_strutture_OspedaleDaCampo_Jesi,malati_attivi_ricoverati_non_intensiva_totali,malati_attivi_ricoverati_non_intensiva_strutture_Fermo,malati_attivi_ricoverati_non_intensiva_strutture_Jesi,malati_attivi_ricoverati_non_intensiva_strutture_Urbino,malati_attivi_ricoverati_non_intensiva_strutture_Macerata,malati_attivi_ricoverati_non_intensiva_strutture_Senigallia,malati_attivi_ricoverati_non_intensiva_strutture_Fabriano,malati_attivi_ricoverati_non_intensiva_strutture_Camerino,malati_attivi_ricoverati_non_intensiva_strutture_Civitanova,malati_attivi_ricoverati_non_intensiva_strutture_San_Benedetto_dT,malati_attivi_ricoverati_non_intensiva_strutture_INRCA_Ancona,malati_attivi_ricoverati_non_intensiva_strutture_AO_Marche_Nord,malati_attivi_ricoverati_non_intensiva_strutture_AO_Ancona_Torrette,malati_attivi_ricoverati_non_intensiva_strutture_Villa_Pini,malati_quarantena_domiciliare_totali,malati_quarantena_domiciliare_attivi_totali,malati_quarantena_domiciliare_attivi_operatori_sanitari,malati_quarantena_domiciliare_attivi_sintomatici,malati_quarantena_domiciliare_attivi_asintomatici,malati_quarantena_domiciliare_provincia_pesaro_urbino_totali,malati_quarantena_domiciliare_provincia_pesaro_urbino_attivi_totali,malati_quarantena_domiciliare_provincia_pesaro_urbino_attivi_operatori_sanitari,malati_quarantena_domiciliare_provincia_pesaro_urbino_attivi_sintomatici,malati_quarantena_domiciliare_provincia_pesaro_urbino_attivi_asintomatici,malati_quarantena_domiciliare_provincia_ancona_totali,malati_quarantena_domiciliare_provincia_ancona_attivi_totali,malati_quarantena_domiciliare_provincia_ancona_attivi_operatori_sanitari,malati_quarantena_domiciliare_provincia_ancona_attivi_sintomatici,malati_quarantena_domiciliare_provincia_ancona_attivi_asintomatici,malati_quarantena_domiciliare_provincia_macerata_totali,malati_quarantena_domiciliare_provincia_macerata_attivi_totali,malati_quarantena_domiciliare_provincia_macerata_attivi_operatori_sanitari,malati_quarantena_domiciliare_provincia_macerata_attivi_sintomatici,malati_quarantena_domiciliare_provincia_macerata_attivi_asintomatici,malati_quarantena_domiciliare_provincia_fermo_totali,malati_quarantena_domiciliare_provincia_fermo_attivi_totali,malati_quarantena_domiciliare_provincia_fermo_attivi_operatori_sanitari,malati_quarantena_domiciliare_provincia_fermo_attivi_sintomatici,malati_quarantena_domiciliare_provincia_fermo_attivi_asintomatici,malati_quarantena_domiciliare_provincia_ascoli_piceno_totali,malati_quarantena_domiciliare_provincia_ascoli_piceno_attivi_totali,malati_quarantena_domiciliare_provincia_ascoli_piceno_attivi_operatori_sanitari,malati_quarantena_domiciliare_provincia_ascoli_piceno_attivi_sintomatici,malati_quarantena_domiciliare_provincia_ascoli_piceno_attivi_asintomatici,decessi_totali_decessi,decessi_totali_sesso_maschio,decessi_totali_sesso_femmina,decessi_totali_provincia_pesaro_urbino,decessi_totali_provincia_ancona,decessi_totali_provincia_macerata,decessi_totali_provincia_fermo,decessi_totali_provincia_ascoli_piceno,decessi_totali_provincia_extra_regione,decessi_odierni_decessi
02-25-2020,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-26-2020,0,19,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-27-2020,0,27,3,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-28-2020,0,46,6,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-29-2020,0,65,11,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-01-2020,0,98,25,0,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-02-2020,0,134,35,0,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
03-03-2020,0,198,61,0,64,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
03-04-2020,0,287,84,0,89,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,1,0,0,0,0,3
03-05-2020,0,413,124,0,126,40,124,100,19,2,3,0,0,0,120,44,76,19,12,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4,2,0,0,0,0,0,0,0,2,35,14,0,0,704,116,61,643,0,480,68,47,433,0,147,39,3,144,0,36,3,6,30,0,33,6,5,28,0,8,8,0,8,4,4,0,3,1,0,0,0,0,0
03-06-2020,0,586,159,0,173,35,159,126,23,7,3,0,0,0,155,62,93,20,12,2,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,0,0,0,0,0,0,0,0,2,50,15,0,0,981,183,79,902,0,654,65,64,590,0,209,85,6,203,0,65,13,5,60,0,42,9,4,38,0,11,11,0,11,4,4,0,3,1,0,0,0,0,0
03-07-2020,0,816,207,0,230,48,200,152,38,7,3,0,0,0,194,70,124,33,21,3,0,4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,6,6,0,0,1,0,0,0,0,3,46,29,0,0,1230,235,111,1119,0,774,82,89,685,0,291,122,8,283,0,68,15,9,59,0,84,15,5,79,0,13,1,0,13,6,6,0,4,2,0,0,0,0,2
03-08-2020,0,1034,270,0,218,63,272,204,54,9,5,0,0,0,265,114,151,41,24,8,0,3,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,12,0,0,0,1,0,0,0,0,3,77,17,0,0,1553,246,131,1422,0,905,87,100,805,0,413,149,10,403,0,130,21,16,114,0,90,15,5,85,0,15,1,0,15,7,7,0,5,2,0,0,0,0,1
